los cubiertos;sztućce
la cucharra;łyżka
la cucharilla/cucharita;łyżeczka
el cuchillo;nóż
el tenedor;widelec
las copas;kieliszki
el cuenco;miska
el escurreplatos;suszarka do naczyń
la fuente;półmisek
los platos hondos;głębokie talerze
los platos llanos;płytkie talerze
las tazas;filiżanki
la vajilla;serwis
los vasos;szklanki
la bandeja;taca
la cazuela;garnek
el cazo;rondel
la olla exprés;szybkowar
la sartén;patelnia
la tapadera;przykrywka
el abrelatas;otwieracz do konserw
el abridor / abrebotellas;otwieracz do butelek
el colador;sitko
el cucharón;chochla
el delantal;fartuch
la espumadera;łyżka cedzakowa
el embudo;lejek
el exprimidor;wyciskarka do owoców
el sacacorchos;korkociąg
